operand_a,operand_b,operation,expected_result
0x0000000000000000,0x0000000000000000,0,0x0000000000000000
0x0000000000000000,0x0000000000000000,1,0x0000000000000000
0x0000000000000000,0x0000000000000000,2,0x0000000000000000
0x0000000000000000,0x0000000000000000,3,0x0000000000000000
0x0000000000000000,0x0000000000000000,4,0x0000000000000000
0x0000000000000000,0x0000000000000000,5,0x0000000000000000
0x0000000000000000,0x0000000000000000,6,0x0000000000000000
0x0000000000000000,0x0000000000000000,7,0x0000000000000000
0x0000000000000000,0x0000000000000000,8,0x0000000000000000
0x0000000000000000,0x0000000000000000,9,0x0000000000000000
0x0000000000000000,0x0000000000000001,0,0x0000000000000001
0x0000000000000000,0x0000000000000001,1,0xffffffffffffffff
0x0000000000000000,0x0000000000000001,2,0x0000000000000000
0x0000000000000000,0x0000000000000001,3,0x0000000000000001
0x0000000000000000,0x0000000000000001,4,0x0000000000000001
0x0000000000000000,0x0000000000000001,5,0x0000000000000000
0x0000000000000000,0x0000000000000001,6,0x0000000000000000
0x0000000000000000,0x0000000000000001,7,0x0000000000000000
0x0000000000000000,0x0000000000000001,8,0x0000000000000001
0x0000000000000000,0x0000000000000001,9,0x0000000000000001
0x0000000000000000,0xffffffffffffffff,0,0xffffffffffffffff
0x0000000000000000,0xffffffffffffffff,1,0x0000000000000001
0x0000000000000000,0xffffffffffffffff,2,0x0000000000000000
0x0000000000000000,0xffffffffffffffff,3,0xffffffffffffffff
0x0000000000000000,0xffffffffffffffff,4,0xffffffffffffffff
0x0000000000000000,0xffffffffffffffff,5,0x0000000000000000
0x0000000000000000,0xffffffffffffffff,6,0x0000000000000000
0x0000000000000000,0xffffffffffffffff,7,0x0000000000000000
0x0000000000000000,0xffffffffffffffff,8,0x0000000000000000
0x0000000000000000,0xffffffffffffffff,9,0x0000000000000001
0x0000000000000000,0x7fffffffffffffff,0,0x7fffffffffffffff
0x0000000000000000,0x7fffffffffffffff,1,0x8000000000000001
0x0000000000000000,0x7fffffffffffffff,2,0x0000000000000000
0x0000000000000000,0x7fffffffffffffff,3,0x7fffffffffffffff
0x0000000000000000,0x7fffffffffffffff,4,0x7fffffffffffffff
0x0000000000000000,0x7fffffffffffffff,5,0x0000000000000000
0x0000000000000000,0x7fffffffffffffff,6,0x0000000000000000
0x0000000000000000,0x7fffffffffffffff,7,0x0000000000000000
0x0000000000000000,0x7fffffffffffffff,8,0x0000000000000001
0x0000000000000000,0x7fffffffffffffff,9,0x0000000000000001
0x0000000000000000,0x8000000000000000,0,0x8000000000000000
0x0000000000000000,0x8000000000000000,1,0x8000000000000000
0x0000000000000000,0x8000000000000000,2,0x0000000000000000
0x0000000000000000,0x8000000000000000,3,0x8000000000000000
0x0000000000000000,0x8000000000000000,4,0x8000000000000000
0x0000000000000000,0x8000000000000000,5,0x0000000000000000
0x0000000000000000,0x8000000000000000,6,0x0000000000000000
0x0000000000000000,0x8000000000000000,7,0x0000000000000000
0x0000000000000000,0x8000000000000000,8,0x0000000000000000
0x0000000000000000,0x8000000000000000,9,0x0000000000000001
0x0000000000000000,0x7fffffffffffffff,0,0x7fffffffffffffff
0x0000000000000000,0x7fffffffffffffff,1,0x8000000000000001
0x0000000000000000,0x7fffffffffffffff,2,0x0000000000000000
0x0000000000000000,0x7fffffffffffffff,3,0x7fffffffffffffff
0x0000000000000000,0x7fffffffffffffff,4,0x7fffffffffffffff
0x0000000000000000,0x7fffffffffffffff,5,0x0000000000000000
0x0000000000000000,0x7fffffffffffffff,6,0x0000000000000000
0x0000000000000000,0x7fffffffffffffff,7,0x0000000000000000
0x0000000000000000,0x7fffffffffffffff,8,0x0000000000000001
0x0000000000000000,0x7fffffffffffffff,9,0x0000000000000001
0x0000000000000000,0x8000000000000000,0,0x8000000000000000
0x0000000000000000,0x8000000000000000,1,0x8000000000000000
0x0000000000000000,0x8000000000000000,2,0x0000000000000000
0x0000000000000000,0x8000000000000000,3,0x8000000000000000
0x0000000000000000,0x8000000000000000,4,0x8000000000000000
0x0000000000000000,0x8000000000000000,5,0x0000000000000000
0x0000000000000000,0x8000000000000000,6,0x0000000000000000
0x0000000000000000,0x8000000000000000,7,0x0000000000000000
0x0000000000000000,0x8000000000000000,8,0x0000000000000000
0x0000000000000000,0x8000000000000000,9,0x0000000000000001
0x0000000000000000,0xffffffffffffffff,0,0xffffffffffffffff
0x0000000000000000,0xffffffffffffffff,1,0x0000000000000001
0x0000000000000000,0xffffffffffffffff,2,0x0000000000000000
0x0000000000000000,0xffffffffffffffff,3,0xffffffffffffffff
0x0000000000000000,0xffffffffffffffff,4,0xffffffffffffffff
0x0000000000000000,0xffffffffffffffff,5,0x0000000000000000
0x0000000000000000,0xffffffffffffffff,6,0x0000000000000000
